id,name,position,team,preseason_rank,current_rank,GP,G,A,+/-,PIM,SOG,FW,HIT
4253,Kevin Shattenkirk,D,Anh,231,252,53,4,18,10,29,97,0,47
4482,Josh Bailey,"LW,RW",NYI,214,253,56,12,25,3,12,83,94,14
5891,Nikita Gusev,"LW,RW",NJ,201,255,54,11,25,-7,10,124,1,10
5846,Connor Brown,"LW,RW",Ott,308,256,53,11,19,3,17,121,22,27
5989,Valeri Nichushkin,"LW,RW",Col,312,257,50,10,11,12,8,86,1,64
7528,Nick Suzuki,"C,RW",Mon,186,258,53,10,20,-5,7,108,228,46
5946,Erik Haula,"C,LW",Nsh,333,259,50,13,14,1,22,99,381,35
6079,Miles Wood,LW,NJ,296,261,50,8,10,8,58,107,0,72
5254,Dmitry Orlov,D,Was,301,262,56,3,18,7,27,82,0,88
5932,Nate Schmidt,D,Van,221,263,49,5,19,12,11,90,0,22
7493,Alex Iafallo,LW,LA,304,264,56,11,15,4,12,99,8,43
4779,Marcus Foligno,"LW,RW",Min,236,265,54,8,10,4,30,65,8,155
6798,Vince Dunn,D,StL,317,266,52,7,12,10,25,100,0,34
5992,Josh Morrissey,D,Wpg,323,267,53,5,20,4,22,92,0,38
6427,Christian Dvorak,"C,LW",Ari,340,269,53,13,15,3,15,100,391,34
3987,Derick Brassard,"C,RW",Ari,293,270,48,7,16,3,16,80,169,79
4252,Lars Eller,C,Was,306,271,55,12,16,1,31,115,407,47
5024,Calle Jarnkrok,"LW,RW",Nsh,365,272,52,12,14,7,11,99,56,26
6037,William Carrier,"LW,RW",VGK,222,273,54,5,10,1,28,75,6,173
6388,Kasperi Kapanen,"LW,RW",Pit,237,274,50,10,15,5,15,89,2,56
7521,Cody Glass,"C,RW",VGK,267,275,54,10,21,-1,12,88,83,24
4306,Milan Lucic,LW,Cgy,241,276,54,6,10,-3,44,68,17,161
5687,Matt Dumba,D,Min,200,277,52,7,16,-4,29,116,0,75
6180,Andreas Johnsson,"LW,RW",NJ,271,278,50,11,15,4,19,92,1,48
3357,Ryan Getzlaf,C,Anh,254,279,49,10,22,-12,41,99,377,92
5263,Ben Chiarot,D,Mon,278,280,53,5,10,6,44,95,0,114
6779,Brandon Carlo,D,Bos,332,281,52,3,12,12,31,84,0,93
4485,Tyler Myers,D,Van,339,283,55,5,13,2,35,107,0,73
5130,Jesper Fast,RW,Car,310,284,53,9,14,8,18,64,7,96
6386,Nick Schmaltz,"C,RW",Ari,251,285,52,9,25,0,15,78,129,9
6896,John Marino,D,Pit,363,286,53,5,18,10,16,62,0,67
6290,Barclay Goodrow,"C,LW",TB,292,288,56,6,14,4,69,76,285,115
6936,Matt Roy,D,LA,320,289,55,3,11,10,8,86,0,101
4186,Ryan Reaves,RW,VGK,206,290,54,5,7,-2,54,47,18,221
6395,Adrian Kempe,"C,LW",LA,343,291,55,10,16,-5,28,107,105,57
5783,Erik Gustafsson,D,Phi,362,292,48,6,18,2,19,80,0,60
7155,Samuel Girard,D,Col,256,293,56,3,22,4,14,77,0,39
6372,Jake Virtanen,RW,Van,318,295,50,11,10,-1,31,103,4,80
